trapVerbatimLocalityLong,PitstartDateOfCollection,PitendDateOfCollection,HeightClass,A.syr,A.mil,F.vir,C.vul,R.ida,Cladi,Prub1,Prub2,Prub3,Prub4,Prub5,P.str,V.ang,T.bor,Plant,D.pun,M.can,Melam,Awlli,Wdsrl
Hog Island Peak Spruce 3,17-Jul,19-Jul,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hog Island Peak Spruce 3,17-Jul,19-Jul,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hog Island Peak Spruce 4,17-Jul,19-Jul,1,0,0,0,0,0,1,12,0,0,0,0,0,4,0,0,0,0,0,0,0
Hog Island Peak Spruce 4,17-Jul,19-Jul,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Hog Island Peak Spruce 4,17-Jul,19-Jul,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hog Island Peak Spruce 4,17-Jul,19-Jul,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hog Island Peak Spruce 4,17-Jul,19-Jul,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hog Island Peak Spruce 5,17-Jul,19-Jul,1,0,0,0,0,0,0,62,0,0,0,0,1,4,0,0,0,0,0,0,0
Hog Island Peak Spruce 5,17-Jul,19-Jul,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Hog Island Peak Spruce 5,17-Jul,19-Jul,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hog Island Peak Spruce 5,17-Jul,19-Jul,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hog Island Peak Spruce 5,17-Jul,19-Jul,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hog Island Blowdown 1,17-Jul,19-Jul,1,0,0,0,0,0,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0
Hog Island Blowdown 1,17-Jul,19-Jul,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hog Island Blowdown 1,17-Jul,19-Jul,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hog Island Blowdown 1,17-Jul,19-Jul,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hog Island Blowdown 1,17-Jul,19-Jul,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hog Island Blowdown 2,17-Jul,19-Jul,1,0,0,0,0,0,0,7,0,0,0,0,1,2,0,0,0,0,0,0,0
Hog Island Blowdown 2,17-Jul,19-Jul,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hog Island Blowdown 2,17-Jul,19-Jul,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hog Island Blowdown 2,17-Jul,19-Jul,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hog Island Blowdown 2,17-Jul,19-Jul,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hog Island Blowdown 3,17-Jul,19-Jul,1,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0
Hog Island Blowdown 3,17-Jul,19-Jul,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hog Island Blowdown 3,17-Jul,19-Jul,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hog Island Blowdown 3,17-Jul,19-Jul,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hog Island Blowdown 3,17-Jul,19-Jul,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hog Island Blowdown 4,17-Jul,19-Jul,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Hog Island Blowdown 4,17-Jul,19-Jul,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hog Island Blowdown 4,17-Jul,19-Jul,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hog Island Blowdown 4,17-Jul,19-Jul,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hog Island Blowdown 4,17-Jul,19-Jul,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hog Island Milkweed 1,17-Jul,19-Jul,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hog Island Milkweed 1,17-Jul,19-Jul,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hog Island Milkweed 1,17-Jul,19-Jul,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
Hog Island Milkweed 1,17-Jul,19-Jul,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hog Island Milkweed 1,17-Jul,19-Jul,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hog Island Milkweed 7,17-Jul,19-Jul,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hog Island Milkweed 7,17-Jul,19-Jul,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hog Island Milkweed 7,17-Jul,19-Jul,3,0,0,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hog Island Milkweed 7,17-Jul,19-Jul,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hog Island Milkweed 7,17-Jul,19-Jul,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hog Island Milkweed 8,17-Jul,19-Jul,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hog Island Milkweed 8,17-Jul,19-Jul,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hog Island Milkweed 8,17-Jul,19-Jul,3,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Hog Island Milkweed 8,17-Jul,19-Jul,4,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hog Island Milkweed 8,17-Jul,19-Jul,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hog Island Milkweed 9,17-Jul,19-Jul,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hog Island Milkweed 9,17-Jul,19-Jul,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hog Island Milkweed 9,17-Jul,19-Jul,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hog Island Milkweed 9,17-Jul,19-Jul,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hog Island Milkweed 9,17-Jul,19-Jul,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mainland Forest 1,18-Jul,,,,,,,,,,,,,,,,,,,,,,
Mainland Forest 1,18-Jul,,,,,,,,,,,,,,,,,,,,,,
Mainland Forest 1,18-Jul,,,,,,,,,,,,,,,,,,,,,,
Mainland Forest 1,18-Jul,,,,,,,,,,,,,,,,,,,,,,
Mainland Forest 1,18-Jul,,,,,,,,,,,,,,,,,,,,,,
Mainland Forest 2,18-Jul,,,,,,,,,,,,,,,,,,,,,,
Mainland Forest 2,18-Jul,,,,,,,,,,,,,,,,,,,,,,
Mainland Forest 2,18-Jul,,,,,,,,,,,,,,,,,,,,,,
Mainland Forest 2,18-Jul,,,,,,,,,,,,,,,,,,,,,,
Mainland Forest 2,18-Jul,,,,,,,,,,,,,,,,,,,,,,
Mainland Forest 3,18-Jul,,,,,,,,,,,,,,,,,,,,,,
Mainland Forest 3,18-Jul,,,,,,,,,,,,,,,,,,,,,,
Mainland Forest 3,18-Jul,,,,,,,,,,,,,,,,,,,,,,
Mainland Forest 3,18-Jul,,,,,,,,,,,,,,,,,,,,,,
Mainland Forest 4,18-Jul,,,,,,,,,,,,,,,,,,,,,,
Mainland Forest 4,18-Jul,,,,,,,,,,,,,,,,,,,,,,
Mainland Forest 4,18-Jul,,,,,,,,,,,,,,,,,,,,,,
Mainland Forest 4,18-Jul,,,,,,,,,,,,,,,,,,,,,,
Mainland Forest 4,18-Jul,,,,,,,,,,,,,,,,,,,,,,
